index,dmo,type,name,agg_name,year
0,SPIŠ,Marketing a propagácia,Vydanie cyklosprievodcu,Tvorba informačných materiálov,2013
1,SPIŠ,Marketing a propagácia,"Vydanie Lyžiarskej mapy Spiša"" a sprievodcu""",Tvorba informačných materiálov,2013
2,SPIŠ,Marketing a propagácia,Marketing a propagácia zimnej karty (sprievodca karty),Tvorba a podpora turistickej karty,2013
3,SPIŠ,Infraštruktúra CR,Obnova a značenie cyklotrás,"Budovanie, obnova a značenie cyklotrás",2014
4,SPIŠ,Infraštruktúra CR,Budovanie nových cyklotrás,"Budovanie, obnova a značenie cyklotrás",2014
5,SPIŠ,Marketing a propagácia,Informačné cyklostojany,Budovanie informačnej infraštruktúry,2014
6,SPIŠ,Marketing a propagácia,Podujatie Spišských 333 Extreme,Tvorba a podpora podujatí,2014
7,SPIŠ,Marketing a propagácia,Letná turistická karta,Tvorba a podpora turistickej karty,2014
8,SPIŠ,Marketing a propagácia,Propagacny material Spis medz 4 NP,Tvorba informačných materiálov,2014
9,SPIŠ,Marketing a propagácia,Komunikačné nástroje pre výstvay,Tvorba informačných materiálov,2015
10,SPIŠ,Infraštruktúra CR,Obnova a značenie cyklotrás,"Budovanie, obnova a značenie cyklotrás",2015
11,SPIŠ,Infraštruktúra CR,Prevadzka SKI BUS,Podpora verejnej prepravnej infraštruktúry,2015
12,SPIŠ,Infraštruktúra CR,Prevadzka letného turistického busu,Podpora verejnej prepravnej infraštruktúry,2015
13,SPIŠ,Infraštruktúra CR,Cyklistický zájazd,Tvorba a podpora podujatí,2015
14,SPIŠ,Infraštruktúra CR,Prípravy výstavvvy História a súčasnosť,Tvorba a podpora podujatí,2015
15,SPIŠ,Infraštruktúra CR,Údržba lyžiarskych a bežeckých tratí,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2015
16,Slovensky raj,Infraštruktúra CR,Informačné tabule a mapy,Budovanie informačnej infraštruktúry,2014
17,Slovensky raj,Infraštruktúra CR,Jednotný systém informovanosti v destinácií,Budovanie informačnej infraštruktúry,2014
18,Slovensky raj,Infraštruktúra CR,"Cyklostojany, info tabule a mapy",Budovanie informačnej infraštruktúry,2015
19,Slovensky raj,Marketing a propagácia,Karta do raja - príslušenstvo a marketingová podpora,Tvorba a podpora turistickej karty,2015
20,Slovensky raj,Marketing a propagácia,Propagačné materiály,Tvorba informačných materiálov,2016
21,Slovensky raj,Marketing a propagácia,Výstavy,Účasť na výstavách,2016
22,Slovensky raj,Marketing a propagácia,Reklamné spoty,Tvorba obsahu komunikačných nástrojov,2016
23,Slovensky raj,Marketing a propagácia,Značenie a úprava bežeckých trás,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2016
24,Slovensky raj,Marketing a propagácia,Prevádzka SKI BUS,Podpora verejnej prepravnej infraštruktúry,2016
25,Slovensky raj,Marketing a propagácia,Údržba bežeckých tratí ,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2016
26,Slovensky raj,Marketing a propagácia,Prevádzka letného turistického busu,Podpora verejnej prepravnej infraštruktúry,2016
27,Slovensky raj,Marketing a propagácia,Obnova značenia cyklotrás,"Budovanie, obnova a značenie cyklotrás",2016
28,Slovensky raj,Marketing a propagácia,Postavenie vyhliadkovej veže,Tvorba a budovanie nových POI,2016
29,Slovensky raj,Marketing a propagácia,Spišská a Hnilecká cyklomagistrála,"Budovanie, obnova a značenie cyklotrás",2016
30,Slovensky raj,Marketing a propagácia,Ďalšie podujatia,Tvorba a podpora podujatí,2016
31,Slovensky raj,Marketing a propagácia,Aktualizácia web stránky,Tvorba obsahu komunikačných nástrojov,2016
32,Slovensky raj,Marketing a propagácia,Prehodnotenie a aktualizácia Karty do Raja,Tvorba a podpora turistickej karty,2016
33,Slovensky raj,Marketing a propagácia,Podujatie Spišských 333 Extreme,Tvorba a podpora podujatí,2017
34,Slovensky raj,Marketing a propagácia,Podujatie Beh v raji,Tvorba a podpora podujatí,2017
35,Slovensky raj,Marketing a propagácia,Brožúra o destinácii,Tvorba informačných materiálov,2017
36,Slovensky raj,Marketing a propagácia,Targeting Karty do Raja,Tvorba a podpora turistickej karty,2017
37,Slovensky raj,Marketing a propagácia,Spojenie a aktualizácia web stránok,Tvorba obsahu komunikačných nástrojov,2017
38,Slovensky raj,Infraštruktúra CR,Budovanie cyklotrás,"Budovanie, obnova a značenie cyklotrás",2017
39,Slovensky raj,Infraštruktúra CR,Budovanie Nordic walking trás,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2017
40,Slovensky raj,Infraštruktúra CR,Údržba bežeckých tratí ,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2017
41,Slovensky raj,Tvorba a podpora produktov CR,Vláčik Telgártska slučka,Tvorba a budovanie nových POI,2017
42,Slovensky raj,Marketing a propagácia,Aktualizácia a dotlač plnofarebnej Info brožúry,Tvorba informačných materiálov,2018
43,Slovensky raj,Marketing a propagácia,Aktualizácia zimného sprievodcu ,Tvorba informačných materiálov,2018
44,Slovensky raj,Marketing a propagácia,Aktualizácia a dotlač  ponuky zliav karty Slovenský raj & Spiš,Tvorba informačných materiálov,2018
45,Slovensky raj,Marketing a propagácia,Bilboardová propagácia Karty,Tvorba a podpora turistickej karty,2018
46,Slovensky raj,Marketing a propagácia,Výroba videa,Tvorba obsahu komunikačných nástrojov,2018
47,Slovensky raj,Marketing a propagácia,Výstavy,Účasť na výstavách,2018
48,Slovensky raj,Marketing a propagácia,Propagačné predmety,Tvorba informačných materiálov,2018
49,Slovensky raj,Infraštruktúra CR,Cykloturistické trasy - nové značenie a obnova značenia,"Budovanie, obnova a značenie cyklotrás",2018
50,Slovensky raj,Infraštruktúra CR,Obnova značenia a údržba lyžiarskych bežeckých tratí,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2018
51,Slovensky raj,Infraštruktúra CR,Rekonštrukcia náučného chodníka Čingovské hradisko,"Budovanie, obnova a značenie turistických trás a náučných chodníkov",2018
52,Slovensky raj,Marketing a propagácia,Aktualizácia a dotlač infobrožúry,Tvorba informačných materiálov,2019
53,Slovensky raj,Marketing a propagácia,Vydanie brožúry „Zima v raji“,Tvorba informačných materiálov,2019
54,Slovensky raj,Marketing a propagácia,Aktualizácia a dotlač propagačných materiálov,Tvorba informačných materiálov,2019
55,Slovensky raj,Marketing a propagácia,Billboardová propagácia turistickej karty,Tvorba a podpora turistickej karty,2019
56,Slovensky raj,Marketing a propagácia,Aktualizácia a tlač cykloturistickej mapy,Tvorba informačných materiálov,2019
58,Slovensky raj,Marketing a propagácia,Výroba 2 videí,Tvorba obsahu komunikačných nástrojov,2019
59,Slovensky raj,Marketing a propagácia,Účasť na výstavách,Účasť na výstavách,2019
60,Slovensky raj,Tvorba a podpora produktov CR,Podujatie Beh v raji,Tvorba a podpora podujatí,2019
61,Slovensky raj,Tvorba a podpora produktov CR,Vláčik Telgártska slučka,Tvorba a budovanie nových POI,2019
62,Slovensky raj,Infraštruktúra CR,Komplexné preznačenie lyžiarskych bežeckých tratí,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2019
63,Slovensky raj,Infraštruktúra CR,Úprava a údržba bežeckých tratí,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2019
64,Slovensky raj,Marketing a propagácia,Online marketing - webová stránka www.vraji.sk,Tvorba obsahu komunikačných nástrojov,2020
65,Slovensky raj,Marketing a propagácia,Edičná a video tvorba - zavedenie digitálneho online marketingu,Tvorba obsahu komunikačných nástrojov,2020
66,Slovensky raj,Marketing a propagácia,Účasť na výstavách,Účasť na výstavách,2020
67,Slovensky raj,Marketing a propagácia,"Turistický informačný systém, PR, komunikácia – propagačné predmety",Tvorba obsahu komunikačných nástrojov,2020
68,Slovensky raj,Marketing a propagácia,Tlač materiálov - brožúra,Tvorba informačných materiálov,2020
69,Slovensky raj,Marketing a propagácia,Marketing turistickej karty - Propagácia turistickej karty,Tvorba a podpora turistickej karty,2020
70,Slovensky raj,Marketing a propagácia,"Infocesty, fam a press tripy - Virtuálna cyklo infocesta",Účasť na výstavách,2020
71,Slovensky raj,Marketing a propagácia,Marketingové kampane - podpora podnikateľských subjektov „Cestujem doma“,Tvorba obsahu komunikačných nástrojov,2020
72,Slovensky raj,Tvorba a podpora produktov CR,LETNÝ BUS v Slovenskom raji,Podpora verejnej prepravnej infraštruktúry,2020
73,Slovensky raj,Infraštruktúra CR,Infraštruktúra pre cyklistov,"Budovanie, obnova a značenie cyklotrás",2020
74,Slovensky raj,Infraštruktúra CR,"Značenie, navigačný systém","Budovanie, obnova a značenie turistických trás a náučných chodníkov",2020
75,Slovensky raj,Marketing a propagácia,Letná destinačná kampaň Košického,Tvorba obsahu komunikačných nástrojov,2021
76,Slovensky raj,Marketing a propagácia,Výroba videa s tipmi na netradičné aktivity v regióne,Tvorba obsahu komunikačných nástrojov,2021
77,Slovensky raj,Marketing a propagácia,Hymna Slovenského raja,Tvorba obsahu komunikačných nástrojov,2021
78,Slovensky raj,Tvorba a podpora produktov CR,"Detský produkt/rodiny Šťastík a Šťastenka /grafický návrh, tlač",Tvorba informačných materiálov,2021
79,Slovensky raj,Podpora atraktivít danej lokality,Regionálna produktová značka – úvodný prieskum,Podpora vlastných znalostných kapacít,2021
80,Slovensky raj,Infraštruktúra CR,"Značenie, navigačný systém","Budovanie, obnova a značenie turistických trás a náučných chodníkov",2021
81,Slovensky raj,Infraštruktúra CR,Informačné tabule a smerovníky,"Budovanie, obnova a značenie turistických trás a náučných chodníkov",2021
82,Slovensky raj,Infraštruktúra CR,"Údržba turistických chodníkov/oddychových zón, bežeckých tratí","Budovanie, obnova a značenie turistických trás a náučných chodníkov",2021
83,Slovensky raj,Stratgické plánovanie,Prieskum potrebných dát informácií o stave CR,Podpora vlastných znalostných kapacít,2021
57,Slovensky raj,Marketing a propagácia,Aktualizácia a tlač a osadenie 15 ks exteriérových cykloturistických máp,Budovanie informačnej infraštruktúry,2019
